name,gender,student_type,education_level,branch,study_hours,attend_hours,confidence,prefers_online_video,active_learner,sleep_hours,sleep_racing,exam_blank,overwhelm,friday_mood,self_doubt,workload_freq,goal_setting_freq,time_enough,puzzle_score,engagement,financial_stress,living_situation,phone_hours,friends_count,sgpa,atkt,has_internship,has_job,in_club,edtech_platforms,hobbies_count,social_interaction_freq,stress_base,motivation_base,social_base,digital_base,stress_level,learning_mode,at_risk_flag,gender_enc,student_type_enc,education_level_enc,branch_enc,sleep_racing_enc,friday_mood_enc,self_doubt_enc,goal_setting_freq_enc,financial_stress_enc,living_situation_enc,sleep_racing_num,goal_freq_num,digital_score,engagement_score,academic_pressure,social_score,study_efficiency,wellbeing_score
Aishwarya Shah,Female,Engineering,Engineering,MBA,4,11,3,1,0,7,Sometimes,0,3,Relieved,"Yes, I doubt them",2,Sometimes,2,4,4,Comfortable,Home,6,2,6.5,0,0,0,0,3,1,4,0.478,0.445,0.237,0.74,Medium,Online,0,0,1,1,8,3,3,2,4,0,0,1,2,11,15,8.5,6,0.3333333333333333,11
Akash Sharma,Male,Engineering,Engineering,BCom,4,10,2,1,1,4,Sometimes,1,2,Neutral,Sometimes,4,Often,2,2,4,Moderate,PG,7,0,4.5,0,1,1,0,3,2,1,0.605,0.606,0.327,0.769,High,Online,1,1,1,1,4,3,2,1,2,2,2,1,3,12,15,11.5,1,0.36363636363636365,8
Sneha Salunkhe,Female,Engineering,Engineering,MSc Data Science,4,0,4,1,1,4,Always,1,5,Tired but okay,Sometimes,4,Never,1,4,3,Moderate,Hostel,3,9,7.9,0,1,0,0,3,3,1,0.801,0.297,0.688,0.897,Critical,Hybrid,1,0,1,1,10,0,4,1,1,2,1,3,0,8,4,11.1,10,4.0,11
Vedant Mane,Male,Engineering,Engineering,BA Psychology,3,9,1,0,1,5,Always,1,5,Relieved,"Yes, I doubt them",4,Often,2,1,2,Tight,Relatives,4,0,5.7,0,0,0,1,4,4,1,0.764,0.442,0.366,0.741,Critical,Online,0,1,1,1,2,0,3,2,2,3,3,3,3,8,12,13.3,2,0.3,10
Nikhil Pawar,Male,Engineering,Engineering,Electronics & TC,3,10,1,1,0,5,Often,1,4,Relieved,Sometimes,3,Never,1,3,4,Comfortable,Home,5,0,5.9,0,1,0,0,1,4,1,0.791,0.253,0.316,0.833,Critical,Online,1,1,1,1,7,2,3,1,1,0,0,2,0,8,14,11.1,1,0.2727272727272727,10
Akash Kulkarni,Male,Engineering,Engineering,BA English Literature,4,10,2,0,0,5,Often,1,3,Tired but okay,"Yes, I doubt them",2,Rarely,1,4,2,Financially Struggling,Hostel,3,5,4.3,0,1,0,0,4,1,2,0.669,0.336,0.368,0.831,High,Online,1,1,1,1,1,2,4,2,3,1,1,2,1,7,12,10.7,7,0.36363636363636365,8
Manish Nair,Male,Engineering,Engineering,MBBS,7,5,3,0,1,6,Often,1,4,Exhausted and drained,"No, I believe them",4,Never,1,4,4,Comfortable,PG,6,7,5.4,1,0,0,1,1,3,2,0.837,0.299,0.692,0.225,Critical,Offline,1,1,1,1,9,2,1,0,1,0,2,2,0,7,10,13.6,10,1.1666666666666667,12
Eshan Patel,Male,Engineering,Engineering,Electronics & TC,4,22,5,1,1,6,Never,0,1,Relieved,"No, I believe them",2,Sometimes,4,2,3,Very Comfortable,Hostel,4,10,7.1,0,0,0,0,4,2,3,0.216,0.495,0.637,0.737,Low,Hybrid,0,1,1,1,7,1,3,0,4,4,1,0,2,10,26,5.9,13,0.17391304347826086,13
Gaurav Mohite,Male,Engineering,Engineering,MBBS,2,11,3,1,1,4,Always,0,3,Relieved,"No, I believe them",2,Rarely,3,2,4,Comfortable,Home,6,9,4.3,0,0,0,0,2,4,2,0.466,0.405,0.535,0.385,Medium,Hybrid,0,1,1,1,9,0,3,0,3,0,0,3,1,10,16,10.7,11,0.16666666666666666,11
Nikhil Mane,Male,Engineering,Engineering,MBA,4,4,2,0,1,5,Sometimes,1,4,Exhausted and drained,"Yes, I doubt them",4,Rarely,1,3,3,Comfortable,Relatives,4,9,6.6,0,0,0,1,4,4,4,0.734,0.411,0.431,0.612,High,Hybrid,0,1,1,1,8,3,1,2,3,0,3,1,1,8,8,11.4,14,0.8,11
Bhakti Kale,Female,Engineering,Engineering,MSc Data Science,5,16,4,0,0,8,Never,0,1,Energised,Sometimes,2,Sometimes,4,2,2,Comfortable,Hostel,4,5,6.2,0,1,1,0,2,2,4,0.321,1.0,0.709,0.379,Low,Offline,0,0,1,1,10,1,0,1,4,0,1,0,2,6,18,6.8,9,0.29411764705882354,14
Chaitali Singh,Female,Engineering,Engineering,BCA,5,15,5,0,1,7,Always,0,2,Neutral,"No, I believe them",3,Often,3,2,4,Comfortable,Relatives,3,3,6.8,0,1,0,0,1,2,3,0.358,1.0,0.349,0.876,Medium,Online,0,0,1,1,3,0,2,0,2,0,3,3,3,4,20,8.2,6,0.3125,14
Ekta Jadhav,Female,Engineering,Engineering,MSc Data Science,6,15,4,0,1,8,Always,0,1,Energised,"No, I believe them",3,Never,4,2,4,Moderate,Home,4,2,6.2,0,0,0,0,4,2,3,0.165,0.704,0.349,0.913,Low,Online,0,0,1,1,10,0,0,0,1,2,0,3,0,8,20,7.8,5,0.375,14
Kunal Verma,Male,Engineering,Engineering,BCA,4,2,2,0,1,5,Always,1,4,Tired but okay,Sometimes,2,Often,2,4,3,Tight,PG,3,3,7.0,0,0,1,0,2,2,3,0.658,0.479,0.339,0.823,High,Online,0,1,1,1,3,0,4,1,2,3,2,3,3,5,6,9.0,6,1.3333333333333333,9
Aniket Mane,Male,Engineering,Engineering,Electronics & TC,5,16,4,1,1,7,Never,0,1,Relieved,"No, I believe them",1,Rarely,4,2,4,Comfortable,Home,5,4,6.0,0,0,0,0,3,1,4,0.249,0.608,0.305,0.692,Low,Online,0,1,1,1,7,1,3,0,3,0,0,0,1,10,21,6.0,8,0.29411764705882354,12
Yash Joshi,Male,Engineering,Engineering,Mechanical Engineering,3,0,2,1,0,6,Sometimes,0,3,Tired but okay,"No, I believe them",3,Often,3,2,5,Comfortable,Home,3,7,5.5,0,0,0,1,4,3,2,0.474,0.13,0.731,0.464,Medium,Offline,0,1,1,1,11,3,4,0,2,0,0,1,3,9,5,10.5,10,3.0,11
Parth Nair,Male,Engineering,Engineering,BA English Literature,3,9,4,0,1,4,Often,1,3,Neutral,Sometimes,3,Often,2,2,4,Moderate,Home,3,5,5.3,0,1,0,0,4,3,1,0.626,0.396,0.21,0.684,High,Online,0,1,1,1,1,2,2,1,2,2,0,2,3,7,14,10.7,6,0.3,11
Rohan Jadhav,Male,Engineering,Engineering,B.Sc Nursing,5,11,4,0,1,7,Never,1,3,Relieved,"No, I believe them",3,Never,2,3,2,Comfortable,Home,5,5,6.0,0,0,0,0,3,4,2,0.752,0.327,0.974,0.259,Critical,Offline,0,1,1,1,0,1,3,0,1,0,0,0,0,8,14,10.0,7,0.4166666666666667,15
Geeta Shah,Female,Engineering,Engineering,BA English Literature,3,6,3,0,1,7,Often,1,3,Exhausted and drained,"No, I believe them",4,Sometimes,2,3,2,Financially Struggling,Hostel,6,9,4.7,0,0,0,0,2,2,1,0.678,0.198,0.504,0.53,High,Hybrid,1,0,1,1,1,2,1,0,4,1,1,2,2,8,9,12.3,10,0.42857142857142855,12
Ananya Singh,Female,Engineering,Engineering,BA English Literature,3,14,3,0,0,6,Never,1,5,Exhausted and drained,"Yes, I doubt them",1,Sometimes,1,2,2,Tight,Home,7,8,6.0,0,0,0,1,2,1,3,0.849,0.483,0.718,0.675,Critical,Hybrid,0,0,1,1,1,1,1,2,4,3,0,0,2,9,16,10.0,12,0.2,10
Swati Sharma,Female,Engineering,Engineering,BA English Literature,5,16,4,0,1,8,Often,0,1,Energised,"No, I believe them",2,Sometimes,5,3,4,Moderate,Hostel,2,7,7.8,0,0,0,0,4,1,2,0.005,1.0,0.485,0.317,Low,Hybrid,0,0,1,1,1,2,0,0,4,2,1,2,2,6,21,5.2,9,0.29411764705882354,13
Yash Salunkhe,Male,Engineering,Engineering,BA Psychology,5,7,2,0,1,6,Always,1,5,Exhausted and drained,Sometimes,4,Often,1,5,3,Moderate,Relatives,7,7,5.8,0,0,0,1,2,3,2,0.749,0.576,0.677,0.155,High,Offline,0,1,1,1,2,0,1,1,2,2,3,3,3,9,11,13.2,10,0.625,11
Gauri Jadhav,Female,Engineering,Engineering,BA English Literature,5,9,2,0,1,5,Often,0,3,Exhausted and drained,"No, I believe them",4,Often,3,2,4,Moderate,PG,4,6,6.1,0,1,0,1,2,1,2,0.386,0.513,0.707,0.543,Medium,Hybrid,0,0,1,1,1,2,1,0,2,2,2,2,3,6,14,10.9,9,0.5,8
Gauri Sawant,Female,Engineering,Engineering,Electronics & TC,4,18,4,1,1,7,Never,0,2,Relieved,Sometimes,1,Often,3,3,4,Moderate,Home,2,6,8.2,0,0,0,0,2,3,4,0.479,0.609,0.63,0.352,Medium,Offline,0,0,1,1,7,1,3,1,2,2,0,0,3,6,23,4.800000000000001,10,0.21052631578947367,14
Aditi Mane,Female,Engineering,Engineering,Civil Engineering,6,8,5,0,1,5,Sometimes,1,5,Exhausted and drained,"Yes, I doubt them",4,Never,2,4,3,Moderate,Relatives,5,5,7.5,0,1,0,0,4,4,3,0.79,0.187,0.386,0.121,Critical,Hybrid,1,0,1,1,5,3,1,2,1,2,3,1,0,9,12,11.5,8,0.6666666666666666,14
Parth Joshi,Male,Engineering,Engineering,B.Sc Nursing,4,8,3,1,0,6,Often,1,4,Relieved,"Yes, I doubt them",4,Never,1,1,2,Very Comfortable,Home,5,10,4.4,0,0,1,1,2,4,4,0.767,0.317,0.527,0.349,Critical,Hybrid,1,1,1,1,0,2,3,2,1,4,0,2,0,9,10,13.6,15,0.4444444444444444,13
Meera Joshi,Female,Engineering,Engineering,MBA,7,15,3,1,1,5,Often,1,4,Exhausted and drained,Sometimes,3,Never,3,3,2,Moderate,Hostel,4,6,6.6,0,1,0,1,1,2,2,0.632,0.627,0.445,0.596,High,Hybrid,0,0,1,1,8,2,1,1,1,2,1,2,0,7,18,10.4,9,0.4375,10
Ishita Sawant,Female,Engineering,Engineering,BCom,3,4,3,0,1,5,Sometimes,1,4,Neutral,"Yes, I doubt them",4,Never,2,3,2,Financially Struggling,Hostel,3,1,5.5,0,1,0,0,4,1,2,0.671,0.135,0.698,0.328,High,Offline,1,0,1,1,4,3,2,2,1,1,1,1,0,7,7,12.5,3,0.6,9
Uma Gaikwad,Female,Engineering,Engineering,BA English Literature,6,10,2,1,1,5,Often,1,4,Exhausted and drained,"Yes, I doubt them",4,Often,1,4,2,Moderate,Home,4,7,5.9,0,1,0,0,1,2,1,0.72,0.25,0.695,0.465,High,Offline,1,0,1,1,1,2,1,2,2,2,0,2,3,7,13,12.1,8,0.5454545454545454,9
Meera Kulkarni,Female,Engineering,Engineering,MBBS,5,9,3,0,1,6,Always,1,3,Neutral,Sometimes,3,Sometimes,2,2,3,Tight,Hostel,3,1,6.3,0,1,0,0,1,4,2,0.647,0.288,0.286,0.483,High,Hybrid,0,0,1,1,9,0,2,1,4,3,1,3,2,4,13,9.7,3,0.5,13
Tanvi Sawant,Female,Engineering,Engineering,BCA,4,16,5,0,0,6,Often,0,2,Neutral,Sometimes,2,Sometimes,3,2,4,Comfortable,Hostel,3,8,8.2,0,1,0,1,2,1,4,0.295,0.458,0.525,0.64,Low,Hybrid,0,0,1,1,3,2,2,1,4,0,1,2,2,5,20,5.800000000000001,13,0.23529411764705882,12
Uma Deshmukh,Female,Engineering,Engineering,Computer Engineering,1,11,4,0,1,9,Never,0,1,Neutral,Sometimes,1,Rarely,4,2,3,Comfortable,Home,3,6,7.3,0,0,0,1,3,1,2,0.139,0.262,0.415,0.886,Low,Online,0,0,1,1,6,1,2,1,3,0,0,0,1,6,15,4.7,9,0.08333333333333333,14
Ishaan Kulkarni,Male,Engineering,Engineering,B.Sc Nursing,5,14,3,0,0,8,Never,0,1,Relieved,"No, I believe them",1,Sometimes,4,3,5,Comfortable,Home,3,7,10.0,0,1,0,1,1,3,4,0.157,0.718,0.894,0.398,Low,Offline,0,1,1,1,0,1,3,0,4,0,0,0,2,4,19,2.0,12,0.3333333333333333,14
Sachin Pawar,Male,Engineering,Engineering,MBA,7,14,2,0,0,7,Often,1,3,Relieved,"Yes, I doubt them",4,Rarely,1,4,2,Moderate,PG,5,9,6.0,0,0,0,0,2,4,1,0.667,0.184,0.488,0.65,High,Hybrid,1,1,1,1,8,2,3,2,3,2,2,2,1,7,16,11.0,10,0.4666666666666667,13
Uma Joshi,Female,Engineering,Engineering,BCA,3,15,5,0,1,7,Never,0,1,Relieved,Sometimes,4,Sometimes,4,4,5,Financially Struggling,Home,4,5,7.9,0,0,1,0,2,4,2,0.239,0.557,0.714,0.659,Low,Hybrid,0,0,1,1,3,1,3,1,4,1,0,0,2,6,21,7.1,7,0.1875,16
Divya Verma,Female,Engineering,Engineering,B.Sc Nursing,5,9,3,0,0,7,Often,1,4,Tired but okay,"Yes, I doubt them",4,Sometimes,1,2,4,Moderate,Relatives,3,4,6.8,0,0,0,1,3,1,1,0.737,0.449,0.379,0.697,High,Online,0,0,1,1,0,2,4,2,4,2,3,2,2,6,13,11.2,6,0.5,11
Tanmay Sharma,Male,Engineering,Engineering,Civil Engineering,5,9,2,1,1,5,Always,1,4,Energised,"Yes, I doubt them",1,Never,3,4,2,Moderate,Hostel,4,10,5.2,1,0,0,0,4,4,2,0.647,0.25,0.574,0.476,High,Hybrid,1,1,1,1,5,0,0,2,1,2,1,3,0,10,12,10.8,12,0.5,11
Aarav Joshi,Male,Engineering,Engineering,Mechanical Engineering,2,15,2,0,1,6,Sometimes,1,3,Energised,"Yes, I doubt them",3,Rarely,2,2,3,Comfortable,Hostel,5,1,6.1,0,1,0,0,3,1,4,0.711,0.396,0.214,0.799,High,Online,0,1,1,1,11,3,0,2,3,0,1,1,1,8,19,9.9,5,0.125,9
Gaurav Verma,Male,Engineering,Engineering,Electronics & TC,4,11,3,0,1,6,Often,1,5,Tired but okay,"Yes, I doubt them",3,Rarely,1,3,2,Tight,Hostel,7,8,5.3,0,1,0,0,2,4,4,0.941,0.25,0.548,0.427,Critical,Hybrid,1,1,1,1,7,2,4,2,3,3,1,2,1,9,14,12.7,12,0.3333333333333333,13
Vivek Kulkarni,Male,Engineering,Engineering,MBBS,3,10,3,0,1,6,Often,1,4,Exhausted and drained,"Yes, I doubt them",4,Rarely,1,4,2,Financially Struggling,Home,6,1,6.0,0,1,0,1,3,4,2,0.816,0.382,0.324,0.477,Critical,Hybrid,0,1,1,1,9,2,1,2,3,1,0,2,1,9,13,12.0,4,0.2727272727272727,13
Vidya Deshmukh,Female,Engineering,Engineering,BCom,7,9,2,0,0,5,Sometimes,1,4,Tired but okay,Sometimes,4,Rarely,1,4,4,Moderate,Hostel,5,9,4.0,1,0,0,1,2,4,1,0.813,0.32,0.471,0.805,Critical,Hybrid,1,0,1,1,4,3,4,1,3,2,1,1,1,7,13,15.0,11,0.7,11
Geeta Kale,Female,Engineering,Engineering,BCom,4,16,5,0,0,8,Sometimes,0,2,Relieved,"No, I believe them",2,Often,3,1,4,Moderate,Home,3,4,4.8,1,0,0,1,1,3,2,0.284,0.675,0.361,0.924,Low,Online,1,0,1,1,4,3,3,0,2,2,0,1,3,4,20,10.2,7,0.23529411764705882,16
Aishwarya Joshi,Female,Engineering,Engineering,Mechanical Engineering,6,17,3,0,1,6,Always,1,5,Tired but okay,"No, I believe them",1,Sometimes,1,3,3,Moderate,Relatives,3,7,4.7,0,1,0,0,3,1,1,0.856,0.379,0.493,0.992,Critical,Hybrid,1,0,1,1,11,0,4,0,4,2,3,3,2,6,21,11.3,8,0.3333333333333333,10
Harshada Pawar,Female,Engineering,Engineering,B.Sc Nursing,4,10,3,1,0,7,Sometimes,0,1,Relieved,Sometimes,1,Sometimes,3,4,4,Comfortable,Home,2,6,6.1,0,1,0,0,3,3,2,0.307,0.954,0.557,0.379,Low,Hybrid,0,0,1,1,0,3,3,1,4,0,0,1,2,7,14,5.9,8,0.36363636363636365,13
Divya Mohite,Female,Engineering,Engineering,BA Psychology,7,7,4,0,1,7,Never,0,1,Energised,Sometimes,3,Always,4,4,4,Tight,Hostel,4,7,6.7,0,1,0,1,4,4,4,0.081,0.654,0.537,0.398,Low,Hybrid,0,0,1,1,2,1,0,1,0,3,1,0,4,8,12,7.3,12,0.875,15
Yogita Kale,Female,Engineering,Engineering,BA Psychology,1,4,3,0,1,6,Always,1,5,Exhausted and drained,"No, I believe them",4,Sometimes,1,4,2,Tight,PG,3,4,5.0,0,1,0,0,4,3,2,0.935,0.391,0.244,0.523,Critical,Hybrid,0,0,1,1,2,0,1,0,4,3,2,3,2,7,7,14.0,6,0.2,12
Swati Joshi,Female,Engineering,Engineering,B.Sc Nursing,4,14,4,0,1,7,Never,0,1,Relieved,"No, I believe them",1,Always,5,3,4,Comfortable,Hostel,2,7,7.9,0,0,0,0,2,3,4,0.166,0.377,0.542,0.318,Low,Hybrid,0,0,1,1,0,1,3,0,0,0,1,0,4,4,19,4.1,11,0.26666666666666666,14
Rohan Kale,Male,Engineering,Engineering,Mechanical Engineering,3,11,2,0,1,6,Always,1,3,Neutral,"Yes, I doubt them",2,Never,1,3,3,Comfortable,Home,5,7,5.4,0,0,0,0,1,3,1,0.756,0.435,0.793,0.393,Critical,Offline,0,1,1,1,11,0,2,2,1,0,0,3,0,6,15,9.6,8,0.25,11
Rohan Patel,Male,Engineering,Engineering,B.Sc Nursing,6,12,5,1,0,6,Never,0,1,Neutral,"No, I believe them",3,Often,4,3,4,Moderate,Home,4,4,6.8,0,0,0,1,3,2,2,0.146,0.89,0.22,0.895,Low,Online,0,1,1,1,0,1,2,0,2,2,0,0,3,9,16,7.2,7,0.46153846153846156,13
Karan Kulkarni,Male,Engineering,Engineering,Electronics & TC,7,8,5,1,1,8,Sometimes,0,1,Neutral,"No, I believe them",3,Sometimes,3,4,5,Moderate,Home,1,6,6.4,0,0,0,1,1,3,2,0.28,0.822,0.469,0.488,Low,Hybrid,0,1,1,1,7,3,2,0,4,2,0,1,2,4,14,7.6,9,0.7777777777777778,16
Jyoti Verma,Female,Engineering,Engineering,Computer Engineering,3,14,4,0,1,4,Often,1,4,Exhausted and drained,Sometimes,4,Rarely,1,3,2,Financially Struggling,Relatives,4,7,5.8,0,0,0,0,4,3,4,0.859,0.316,0.619,0.097,Critical,Offline,0,0,1,1,6,2,1,1,3,1,3,2,1,8,17,12.2,11,0.2,11
Aditi Mane,Female,Engineering,Engineering,MBBS,4,9,2,1,0,7,Often,1,3,Exhausted and drained,Sometimes,4,Rarely,2,3,2,Moderate,Hostel,6,6,6.2,0,0,0,1,1,2,4,0.732,0.401,0.585,0.334,High,Hybrid,0,0,1,1,9,2,1,1,3,2,1,2,1,9,11,10.8,11,0.4,11
Deepali Verma,Female,Engineering,Engineering,BA Psychology,4,17,4,1,0,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",3,Rarely,1,3,2,Moderate,Home,6,0,5.0,0,0,0,1,2,1,2,0.717,0.164,0.181,0.571,High,Hybrid,1,0,1,1,2,0,1,2,3,2,0,3,1,10,19,11.0,3,0.2222222222222222,11
Zara Mane,Female,Engineering,Engineering,Civil Engineering,7,6,1,1,0,5,Often,0,2,Neutral,"Yes, I doubt them",4,Sometimes,3,3,5,Very Comfortable,Hostel,7,6,4.3,1,0,1,0,3,1,3,0.353,0.512,0.189,0.786,Medium,Online,1,0,1,1,5,2,2,2,4,4,1,2,2,12,11,12.7,9,1.0,7
Vedant Mehta,Male,Engineering,Engineering,MSc Data Science,4,11,2,0,0,6,Often,0,2,Exhausted and drained,"Yes, I doubt them",3,Always,3,4,4,Comfortable,Relatives,4,8,5.1,1,1,0,0,4,2,3,0.425,0.438,0.42,0.913,Medium,Online,1,1,1,1,10,2,1,2,0,0,3,2,4,8,15,10.9,11,0.3333333333333333,10
Rohan Mehta,Male,Engineering,Engineering,Electronics & TC,3,15,1,1,0,9,Often,0,2,Energised,"No, I believe them",2,Often,3,4,4,Comfortable,PG,7,2,5.4,1,1,0,1,2,3,4,0.384,0.589,0.214,0.652,Medium,Online,1,1,1,1,7,2,0,0,2,0,2,2,3,11,19,9.6,7,0.1875,13
Rahul Joshi,Male,Engineering,Engineering,BCA,7,17,1,1,0,8,Sometimes,0,2,Relieved,Sometimes,4,Never,4,2,4,Moderate,Hostel,3,7,7.1,0,0,1,0,4,3,4,0.313,0.67,0.627,0.321,Low,Offline,0,1,1,1,3,3,3,1,1,2,1,1,0,9,21,8.9,11,0.3888888888888889,12
Arjun Deshmukh,Male,Engineering,Engineering,MBA,6,17,4,0,1,8,Often,0,1,Relieved,"No, I believe them",2,Always,5,4,4,Very Comfortable,Home,2,3,8.3,0,1,0,1,1,4,4,0.154,0.493,0.256,0.879,Low,Online,0,1,1,1,8,2,3,0,0,4,0,2,4,3,22,4.699999999999999,8,0.3333333333333333,16
Meera Sawant,Female,Engineering,Engineering,Mechanical Engineering,4,12,4,0,1,6,Never,0,2,Tired but okay,Sometimes,3,Often,2,4,5,Comfortable,Home,3,3,7.7,0,1,0,0,2,4,2,0.461,0.696,0.518,0.326,Medium,Hybrid,0,0,1,1,11,1,4,1,2,0,0,0,3,5,18,7.3,5,0.3076923076923077,14
Uday Salunkhe,Male,Engineering,Engineering,BCom,6,14,4,1,1,5,Often,0,1,Neutral,"Yes, I doubt them",1,Sometimes,5,2,1,Moderate,Hostel,4,5,7.6,0,1,0,1,4,4,1,0.059,0.586,0.535,0.209,Low,Hybrid,0,1,1,1,4,2,2,2,4,2,1,2,2,10,16,4.4,7,0.4,13
Bhushan Deshmukh,Male,Engineering,Engineering,BCom,3,13,2,1,1,6,Sometimes,1,4,Exhausted and drained,"Yes, I doubt them",4,Often,1,3,1,Very Comfortable,Hostel,6,9,8.3,0,0,1,0,2,4,3,0.678,0.67,0.536,0.781,High,Hybrid,0,1,1,1,4,3,1,2,2,4,1,1,3,10,15,9.7,12,0.21428571428571427,12
Farhan Mehta,Male,Engineering,Engineering,BCA,3,14,3,0,1,5,Often,0,2,Tired but okay,Sometimes,4,Never,2,3,1,Moderate,Home,5,7,6.3,0,0,0,0,4,4,2,0.546,0.339,0.571,0.373,Medium,Hybrid,0,1,1,1,3,2,4,1,1,2,0,2,0,9,16,9.7,9,0.2,12
Karan Verma,Male,Engineering,Engineering,MBA,5,18,4,0,1,7,Often,0,1,Relieved,"No, I believe them",3,Sometimes,4,4,5,Moderate,Hostel,3,8,6.9,0,0,0,0,2,1,4,0.177,0.629,0.481,0.789,Low,Hybrid,0,1,1,1,8,2,3,0,4,2,1,2,2,5,24,7.1,12,0.2631578947368421,12
Manish Nair,Male,Engineering,Engineering,MBBS,3,9,3,1,1,7,Sometimes,1,4,Exhausted and drained,"Yes, I doubt them",3,Sometimes,1,1,2,Tight,PG,5,6,5.5,0,0,0,0,4,3,1,0.795,0.585,0.663,0.38,Critical,Offline,0,1,1,1,9,3,1,2,4,3,2,1,2,11,12,11.5,7,0.3,13
Waqar Kumar,Male,Engineering,Engineering,Electronics & TC,6,11,3,1,1,6,Sometimes,0,3,Exhausted and drained,"No, I believe them",4,Always,2,1,4,Financially Struggling,Hostel,3,9,5.4,1,1,1,1,2,1,3,0.467,0.324,0.628,0.282,Medium,Offline,1,1,1,1,7,3,1,0,0,1,1,1,4,7,16,12.6,13,0.5,10
Kajal Kumar,Female,Engineering,Engineering,BCA,2,17,2,0,0,6,Sometimes,1,3,Neutral,"Yes, I doubt them",2,Rarely,1,2,3,Moderate,Home,5,8,5.0,1,0,0,0,3,3,3,0.706,0.265,0.52,0.519,High,Hybrid,1,0,1,1,3,3,2,2,3,2,0,1,1,8,20,11.0,11,0.1111111111111111,11
Priya Verma,Female,Engineering,Engineering,Electronics & TC,4,20,3,1,0,5,Always,1,2,Tired but okay,"Yes, I doubt them",4,Often,3,4,3,Moderate,Hostel,5,7,6.0,0,1,0,1,4,1,2,0.573,0.366,0.501,0.0,High,Hybrid,0,0,1,1,7,0,4,2,2,2,1,3,3,11,23,10.0,10,0.19047619047619047,9
Chaitali Joshi,Female,Engineering,Engineering,Computer Engineering,3,8,3,0,1,7,Always,1,4,Exhausted and drained,"No, I believe them",2,Sometimes,2,3,2,Moderate,PG,3,4,5.7,0,1,0,1,1,3,1,0.716,0.403,0.751,0.439,High,Offline,0,0,1,1,6,0,1,0,4,2,2,3,2,4,11,10.3,6,0.3333333333333333,13
Kunal Patel,Male,Engineering,Engineering,MSc Data Science,2,9,4,0,1,6,Often,1,4,Tired but okay,"No, I believe them",4,Sometimes,1,4,3,Tight,Home,5,0,4.9,0,1,0,1,1,3,2,0.873,0.16,0.226,0.735,Critical,Online,1,1,1,1,10,2,4,0,4,3,0,2,2,6,13,13.1,3,0.2,13
Ishaan More,Male,Engineering,Engineering,MBA,7,11,3,1,1,6,Never,0,1,Relieved,"No, I believe them",2,Never,4,3,3,Financially Struggling,Home,3,8,8.5,0,0,0,1,2,2,4,0.133,0.737,0.425,0.921,Low,Online,0,1,1,1,8,1,3,0,1,1,0,0,0,7,15,4.5,13,0.5833333333333334,11
Jyoti Bhosale,Female,Engineering,Engineering,B.Sc Nursing,4,9,2,1,0,5,Often,1,4,Exhausted and drained,"Yes, I doubt them",2,Often,1,3,3,Moderate,Hostel,7,0,7.0,0,1,0,0,1,4,2,0.963,0.159,0.378,1.0,Critical,Online,1,0,1,1,0,2,1,2,2,2,1,2,3,10,12,9.0,2,0.4,11
Tanmay Shah,Male,Engineering,Engineering,BCA,4,7,3,1,1,6,Never,0,2,Exhausted and drained,"No, I believe them",3,Always,3,2,3,Moderate,Home,4,8,7.3,0,0,1,0,4,2,1,0.41,0.469,0.654,0.546,Medium,Hybrid,0,1,1,1,3,1,1,0,0,2,0,0,4,10,11,7.7,9,0.5,11
Vidya Joshi,Female,Engineering,Engineering,B.Sc Nursing,4,5,3,0,1,6,Often,1,3,Relieved,"Yes, I doubt them",4,Rarely,1,5,2,Moderate,Relatives,4,6,5.8,0,1,0,0,2,2,1,0.721,0.623,0.403,0.703,High,Online,0,0,1,1,0,2,3,2,3,2,3,2,1,6,8,11.2,7,0.6666666666666666,11
Chinmay Verma,Male,Engineering,Engineering,MBBS,3,15,4,1,0,5,Always,1,3,Exhausted and drained,Sometimes,4,Often,1,4,2,Moderate,Relatives,2,9,4.8,0,1,0,0,4,1,1,0.596,0.303,0.762,0.323,High,Offline,0,1,1,1,9,0,1,1,2,2,3,3,3,8,17,12.2,10,0.1875,10
Chaitali Shinde,Female,Engineering,Engineering,Electronics & TC,5,10,3,0,0,7,Often,1,3,Exhausted and drained,"Yes, I doubt them",3,Rarely,1,3,3,Moderate,Home,3,5,5.6,0,1,0,0,4,1,1,0.76,0.402,0.207,0.689,Critical,Online,0,0,1,1,7,2,1,2,3,2,0,2,1,7,13,10.4,6,0.45454545454545453,11
Manish Mane,Male,Engineering,Engineering,Electronics & TC,3,16,5,0,1,7,Never,0,2,Neutral,"No, I believe them",2,Rarely,4,2,4,Tight,Home,0,2,7.9,0,0,0,0,3,4,4,0.281,0.927,0.132,0.748,Low,Online,0,1,1,1,7,1,2,0,3,3,0,0,1,3,21,6.1,6,0.17647058823529413,16
Neha Patel,Female,Engineering,Engineering,MSc Data Science,4,11,2,0,1,5,Always,1,4,Exhausted and drained,Sometimes,3,Sometimes,1,4,3,Moderate,Hostel,5,0,4.4,1,1,0,1,1,2,1,0.829,0.133,0.398,0.674,Critical,Online,1,0,1,1,10,0,1,1,4,2,1,3,2,6,15,13.6,2,0.3333333333333333,9
