name,gender,student_type,education_level,branch,study_hours,attend_hours,confidence,prefers_online_video,active_learner,sleep_hours,sleep_racing,exam_blank,overwhelm,friday_mood,self_doubt,workload_freq,goal_setting_freq,time_enough,puzzle_score,engagement,financial_stress,living_situation,phone_hours,friends_count,sgpa,atkt,has_internship,has_job,in_club,edtech_platforms,hobbies_count,social_interaction_freq,stress_base,motivation_base,social_base,digital_base,stress_level,learning_mode,at_risk_flag
Ishita Sawant,Female,Engineering,Engineering,BCom,3,4,3,0,1,5,Sometimes,1,4,Neutral,"Yes, I doubt them",4,Never,2,3,2,Financially Struggling,Hostel,3,1,5.5,0,1,0,0,4,1,2,0.671,0.135,0.698,0.328,High,Offline,1
Uma Gaikwad,Female,Engineering,Engineering,BA English Literature,6,10,2,1,1,5,Often,1,4,Exhausted and drained,"Yes, I doubt them",4,Often,1,4,2,Moderate,Home,4,7,5.9,0,1,0,0,1,2,1,0.72,0.25,0.695,0.465,High,Offline,1
Meera Kulkarni,Female,Engineering,Engineering,MBBS,5,9,3,0,1,6,Always,1,3,Neutral,Sometimes,3,Sometimes,2,2,3,Tight,Hostel,3,1,6.3,0,1,0,0,1,4,2,0.647,0.288,0.286,0.483,High,Hybrid,0
Tanvi Sawant,Female,Engineering,Engineering,BCA,4,16,5,0,0,6,Often,0,2,Neutral,Sometimes,2,Sometimes,3,2,4,Comfortable,Hostel,3,8,8.2,0,1,0,1,2,1,4,0.295,0.458,0.525,0.64,Low,Hybrid,0
Uma Deshmukh,Female,Engineering,Engineering,Computer Engineering,1,11,4,0,1,9,Never,0,1,Neutral,Sometimes,1,Rarely,4,2,3,Comfortable,Home,3,6,7.3,0,0,0,1,3,1,2,0.139,0.262,0.415,0.886,Low,Online,0
Ishaan Kulkarni,Male,Engineering,Engineering,B.Sc Nursing,5,14,3,0,0,8,Never,0,1,Relieved,"No, I believe them",1,Sometimes,4,3,5,Comfortable,Home,3,7,10.0,0,1,0,1,1,3,4,0.157,0.718,0.894,0.398,Low,Offline,0
Sachin Pawar,Male,Engineering,Engineering,MBA,7,14,2,0,0,7,Often,1,3,Relieved,"Yes, I doubt them",4,Rarely,1,4,2,Moderate,PG,5,9,6.0,0,0,0,0,2,4,1,0.667,0.184,0.488,0.65,High,Hybrid,1
Uma Joshi,Female,Engineering,Engineering,BCA,3,15,5,0,1,7,Never,0,1,Relieved,Sometimes,4,Sometimes,4,4,5,Financially Struggling,Home,4,5,7.9,0,0,1,0,2,4,2,0.239,0.557,0.714,0.659,Low,Hybrid,0
Divya Verma,Female,Engineering,Engineering,B.Sc Nursing,5,9,3,0,0,7,Often,1,4,Tired but okay,"Yes, I doubt them",4,Sometimes,1,2,4,Moderate,Relatives,3,4,6.8,0,0,0,1,3,1,1,0.737,0.449,0.379,0.697,High,Online,0
Tanmay Sharma,Male,Engineering,Engineering,Civil Engineering,5,9,2,1,1,5,Always,1,4,Energised,"Yes, I doubt them",1,Never,3,4,2,Moderate,Hostel,4,10,5.2,1,0,0,0,4,4,2,0.647,0.25,0.574,0.476,High,Hybrid,1
Aarav Joshi,Male,Engineering,Engineering,Mechanical Engineering,2,15,2,0,1,6,Sometimes,1,3,Energised,"Yes, I doubt them",3,Rarely,2,2,3,Comfortable,Hostel,5,1,6.1,0,1,0,0,3,1,4,0.711,0.396,0.214,0.799,High,Online,0
Gaurav Verma,Male,Engineering,Engineering,Electronics & TC,4,11,3,0,1,6,Often,1,5,Tired but okay,"Yes, I doubt them",3,Rarely,1,3,2,Tight,Hostel,7,8,5.3,0,1,0,0,2,4,4,0.941,0.25,0.548,0.427,Critical,Hybrid,1
Vivek Kulkarni,Male,Engineering,Engineering,MBBS,3,10,3,0,1,6,Often,1,4,Exhausted and drained,"Yes, I doubt them",4,Rarely,1,4,2,Financially Struggling,Home,6,1,6.0,0,1,0,1,3,4,2,0.816,0.382,0.324,0.477,Critical,Hybrid,0
Vidya Deshmukh,Female,Engineering,Engineering,BCom,7,9,2,0,0,5,Sometimes,1,4,Tired but okay,Sometimes,4,Rarely,1,4,4,Moderate,Hostel,5,9,4.0,1,0,0,1,2,4,1,0.813,0.32,0.471,0.805,Critical,Hybrid,1
Geeta Kale,Female,Engineering,Engineering,BCom,4,16,5,0,0,8,Sometimes,0,2,Relieved,"No, I believe them",2,Often,3,1,4,Moderate,Home,3,4,4.8,1,0,0,1,1,3,2,0.284,0.675,0.361,0.924,Low,Online,1
Aishwarya Joshi,Female,Engineering,Engineering,Mechanical Engineering,6,17,3,0,1,6,Always,1,5,Tired but okay,"No, I believe them",1,Sometimes,1,3,3,Moderate,Relatives,3,7,4.7,0,1,0,0,3,1,1,0.856,0.379,0.493,0.992,Critical,Hybrid,1
Harshada Pawar,Female,Engineering,Engineering,B.Sc Nursing,4,10,3,1,0,7,Sometimes,0,1,Relieved,Sometimes,1,Sometimes,3,4,4,Comfortable,Home,2,6,6.1,0,1,0,0,3,3,2,0.307,0.954,0.557,0.379,Low,Hybrid,0
Divya Mohite,Female,Engineering,Engineering,BA Psychology,7,7,4,0,1,7,Never,0,1,Energised,Sometimes,3,Always,4,4,4,Tight,Hostel,4,7,6.7,0,1,0,1,4,4,4,0.081,0.654,0.537,0.398,Low,Hybrid,0
Yogita Kale,Female,Engineering,Engineering,BA Psychology,1,4,3,0,1,6,Always,1,5,Exhausted and drained,"No, I believe them",4,Sometimes,1,4,2,Tight,PG,3,4,5.0,0,1,0,0,4,3,2,0.935,0.391,0.244,0.523,Critical,Hybrid,0
Swati Joshi,Female,Engineering,Engineering,B.Sc Nursing,4,14,4,0,1,7,Never,0,1,Relieved,"No, I believe them",1,Always,5,3,4,Comfortable,Hostel,2,7,7.9,0,0,0,0,2,3,4,0.166,0.377,0.542,0.318,Low,Hybrid,0
Rohan Kale,Male,Engineering,Engineering,Mechanical Engineering,3,11,2,0,1,6,Always,1,3,Neutral,"Yes, I doubt them",2,Never,1,3,3,Comfortable,Home,5,7,5.4,0,0,0,0,1,3,1,0.756,0.435,0.793,0.393,Critical,Offline,0
Rohan Patel,Male,Engineering,Engineering,B.Sc Nursing,6,12,5,1,0,6,Never,0,1,Neutral,"No, I believe them",3,Often,4,3,4,Moderate,Home,4,4,6.8,0,0,0,1,3,2,2,0.146,0.89,0.22,0.895,Low,Online,0
Karan Kulkarni,Male,Engineering,Engineering,Electronics & TC,7,8,5,1,1,8,Sometimes,0,1,Neutral,"No, I believe them",3,Sometimes,3,4,5,Moderate,Home,1,6,6.4,0,0,0,1,1,3,2,0.28,0.822,0.469,0.488,Low,Hybrid,0
Jyoti Verma,Female,Engineering,Engineering,Computer Engineering,3,14,4,0,1,4,Often,1,4,Exhausted and drained,Sometimes,4,Rarely,1,3,2,Financially Struggling,Relatives,4,7,5.8,0,0,0,0,4,3,4,0.859,0.316,0.619,0.097,Critical,Offline,0
Aditi Mane,Female,Engineering,Engineering,MBBS,4,9,2,1,0,7,Often,1,3,Exhausted and drained,Sometimes,4,Rarely,2,3,2,Moderate,Hostel,6,6,6.2,0,0,0,1,1,2,4,0.732,0.401,0.585,0.334,High,Hybrid,0
Deepali Verma,Female,Engineering,Engineering,BA Psychology,4,17,4,1,0,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",3,Rarely,1,3,2,Moderate,Home,6,0,5.0,0,0,0,1,2,1,2,0.717,0.164,0.181,0.571,High,Hybrid,1
Zara Mane,Female,Engineering,Engineering,Civil Engineering,7,6,1,1,0,5,Often,0,2,Neutral,"Yes, I doubt them",4,Sometimes,3,3,5,Very Comfortable,Hostel,7,6,4.3,1,0,1,0,3,1,3,0.353,0.512,0.189,0.786,Medium,Online,1
Vedant Mehta,Male,Engineering,Engineering,MSc Data Science,4,11,2,0,0,6,Often,0,2,Exhausted and drained,"Yes, I doubt them",3,Always,3,4,4,Comfortable,Relatives,4,8,5.1,1,1,0,0,4,2,3,0.425,0.438,0.42,0.913,Medium,Online,1
Rohan Mehta,Male,Engineering,Engineering,Electronics & TC,3,15,1,1,0,9,Often,0,2,Energised,"No, I believe them",2,Often,3,4,4,Comfortable,PG,7,2,5.4,1,1,0,1,2,3,4,0.384,0.589,0.214,0.652,Medium,Online,1
Rahul Joshi,Male,Engineering,Engineering,BCA,7,17,1,1,0,8,Sometimes,0,2,Relieved,Sometimes,4,Never,4,2,4,Moderate,Hostel,3,7,7.1,0,0,1,0,4,3,4,0.313,0.67,0.627,0.321,Low,Offline,0
Arjun Deshmukh,Male,Engineering,Engineering,MBA,6,17,4,0,1,8,Often,0,1,Relieved,"No, I believe them",2,Always,5,4,4,Very Comfortable,Home,2,3,8.3,0,1,0,1,1,4,4,0.154,0.493,0.256,0.879,Low,Online,0
Meera Sawant,Female,Engineering,Engineering,Mechanical Engineering,4,12,4,0,1,6,Never,0,2,Tired but okay,Sometimes,3,Often,2,4,5,Comfortable,Home,3,3,7.7,0,1,0,0,2,4,2,0.461,0.696,0.518,0.326,Medium,Hybrid,0
Uday Salunkhe,Male,Engineering,Engineering,BCom,6,14,4,1,1,5,Often,0,1,Neutral,"Yes, I doubt them",1,Sometimes,5,2,1,Moderate,Hostel,4,5,7.6,0,1,0,1,4,4,1,0.059,0.586,0.535,0.209,Low,Hybrid,0
Bhushan Deshmukh,Male,Engineering,Engineering,BCom,3,13,2,1,1,6,Sometimes,1,4,Exhausted and drained,"Yes, I doubt them",4,Often,1,3,1,Very Comfortable,Hostel,6,9,8.3,0,0,1,0,2,4,3,0.678,0.67,0.536,0.781,High,Hybrid,0
Farhan Mehta,Male,Engineering,Engineering,BCA,3,14,3,0,1,5,Often,0,2,Tired but okay,Sometimes,4,Never,2,3,1,Moderate,Home,5,7,6.3,0,0,0,0,4,4,2,0.546,0.339,0.571,0.373,Medium,Hybrid,0
Karan Verma,Male,Engineering,Engineering,MBA,5,18,4,0,1,7,Often,0,1,Relieved,"No, I believe them",3,Sometimes,4,4,5,Moderate,Hostel,3,8,6.9,0,0,0,0,2,1,4,0.177,0.629,0.481,0.789,Low,Hybrid,0
Manish Nair,Male,Engineering,Engineering,MBBS,3,9,3,1,1,7,Sometimes,1,4,Exhausted and drained,"Yes, I doubt them",3,Sometimes,1,1,2,Tight,PG,5,6,5.5,0,0,0,0,4,3,1,0.795,0.585,0.663,0.38,Critical,Offline,0
Waqar Kumar,Male,Engineering,Engineering,Electronics & TC,6,11,3,1,1,6,Sometimes,0,3,Exhausted and drained,"No, I believe them",4,Always,2,1,4,Financially Struggling,Hostel,3,9,5.4,1,1,1,1,2,1,3,0.467,0.324,0.628,0.282,Medium,Offline,1
Kajal Kumar,Female,Engineering,Engineering,BCA,2,17,2,0,0,6,Sometimes,1,3,Neutral,"Yes, I doubt them",2,Rarely,1,2,3,Moderate,Home,5,8,5.0,1,0,0,0,3,3,3,0.706,0.265,0.52,0.519,High,Hybrid,1
Priya Verma,Female,Engineering,Engineering,Electronics & TC,4,20,3,1,0,5,Always,1,2,Tired but okay,"Yes, I doubt them",4,Often,3,4,3,Moderate,Hostel,5,7,6.0,0,1,0,1,4,1,2,0.573,0.366,0.501,0.0,High,Hybrid,0
Chaitali Joshi,Female,Engineering,Engineering,Computer Engineering,3,8,3,0,1,7,Always,1,4,Exhausted and drained,"No, I believe them",2,Sometimes,2,3,2,Moderate,PG,3,4,5.7,0,1,0,1,1,3,1,0.716,0.403,0.751,0.439,High,Offline,0
Kunal Patel,Male,Engineering,Engineering,MSc Data Science,2,9,4,0,1,6,Often,1,4,Tired but okay,"No, I believe them",4,Sometimes,1,4,3,Tight,Home,5,0,4.9,0,1,0,1,1,3,2,0.873,0.16,0.226,0.735,Critical,Online,1
Ishaan More,Male,Engineering,Engineering,MBA,7,11,3,1,1,6,Never,0,1,Relieved,"No, I believe them",2,Never,4,3,3,Financially Struggling,Home,3,8,8.5,0,0,0,1,2,2,4,0.133,0.737,0.425,0.921,Low,Online,0
Jyoti Bhosale,Female,Engineering,Engineering,B.Sc Nursing,4,9,2,1,0,5,Often,1,4,Exhausted and drained,"Yes, I doubt them",2,Often,1,3,3,Moderate,Hostel,7,0,7.0,0,1,0,0,1,4,2,0.963,0.159,0.378,1.0,Critical,Online,1
Tanmay Shah,Male,Engineering,Engineering,BCA,4,7,3,1,1,6,Never,0,2,Exhausted and drained,"No, I believe them",3,Always,3,2,3,Moderate,Home,4,8,7.3,0,0,1,0,4,2,1,0.41,0.469,0.654,0.546,Medium,Hybrid,0
Vidya Joshi,Female,Engineering,Engineering,B.Sc Nursing,4,5,3,0,1,6,Often,1,3,Relieved,"Yes, I doubt them",4,Rarely,1,5,2,Moderate,Relatives,4,6,5.8,0,1,0,0,2,2,1,0.721,0.623,0.403,0.703,High,Online,0
Chinmay Verma,Male,Engineering,Engineering,MBBS,3,15,4,1,0,5,Always,1,3,Exhausted and drained,Sometimes,4,Often,1,4,2,Moderate,Relatives,2,9,4.8,0,1,0,0,4,1,1,0.596,0.303,0.762,0.323,High,Offline,0
Chaitali Shinde,Female,Engineering,Engineering,Electronics & TC,5,10,3,0,0,7,Often,1,3,Exhausted and drained,"Yes, I doubt them",3,Rarely,1,3,3,Moderate,Home,3,5,5.6,0,1,0,0,4,1,1,0.76,0.402,0.207,0.689,Critical,Online,0
Manish Mane,Male,Engineering,Engineering,Electronics & TC,3,16,5,0,1,7,Never,0,2,Neutral,"No, I believe them",2,Rarely,4,2,4,Tight,Home,0,2,7.9,0,0,0,0,3,4,4,0.281,0.927,0.132,0.748,Low,Online,0
Neha Patel,Female,Engineering,Engineering,MSc Data Science,4,11,2,0,1,5,Always,1,4,Exhausted and drained,Sometimes,3,Sometimes,1,4,3,Moderate,Hostel,5,0,4.4,1,1,0,1,1,2,1,0.829,0.133,0.398,0.674,Critical,Online,1
Ishita Kale,Female,Engineering,Engineering,Civil Engineering,4,17,4,0,1,7,Never,0,1,Exhausted and drained,Sometimes,2,Sometimes,5,2,3,Tight,Hostel,2,10,9.2,0,1,0,0,1,3,4,0.041,0.598,0.529,0.603,Low,Hybrid,0
Aishwarya Pawar,Female,Engineering,Engineering,BCA,3,19,3,0,1,7,Never,0,2,Neutral,"Yes, I doubt them",3,Always,3,4,5,Very Comfortable,Relatives,3,11,10.0,0,0,0,1,3,3,4,0.378,0.763,0.86,0.448,Medium,Offline,0
Geeta Kale,Female,Engineering,Engineering,B.Sc Nursing,5,12,3,0,0,5,Often,1,3,Tired but okay,Sometimes,1,Always,2,5,2,Financially Struggling,PG,4,0,5.9,0,0,0,1,1,4,1,0.602,0.669,0.385,0.825,High,Online,0
Pranav Mane,Male,Engineering,Engineering,BCA,5,9,2,0,1,4,Sometimes,1,4,Tired but okay,"Yes, I doubt them",2,Often,1,3,2,Tight,Home,4,9,6.1,0,1,0,1,4,3,2,0.75,0.236,0.592,0.454,Critical,Hybrid,1
Swati Kumar,Female,Engineering,Engineering,Civil Engineering,2,19,3,1,0,6,Sometimes,0,2,Relieved,"No, I believe them",2,Always,3,2,5,Moderate,Home,4,6,8.6,0,1,0,0,3,1,2,0.405,0.763,0.724,0.271,Medium,Offline,0
Kirti Gaikwad,Female,Engineering,Engineering,BCA,5,6,1,1,1,4,Always,1,3,Tired but okay,"No, I believe them",3,Sometimes,1,2,3,Moderate,Home,7,1,7.0,0,1,0,0,1,4,1,0.689,0.345,0.372,0.484,High,Hybrid,0
Devesh Deshmukh,Male,Engineering,Engineering,BCom,6,16,2,1,1,4,Always,1,3,Tired but okay,"Yes, I doubt them",4,Sometimes,2,3,3,Moderate,Hostel,4,3,4.5,0,1,0,1,3,2,2,0.627,0.318,0.374,0.825,High,Online,1
Aishwarya Kulkarni,Female,Engineering,Engineering,Mechanical Engineering,6,3,2,0,1,4,Often,0,2,Exhausted and drained,"No, I believe them",4,Always,2,3,3,Tight,PG,4,2,4.1,0,0,1,1,2,2,2,0.536,0.365,0.211,0.884,Medium,Online,0
Rahul Salunkhe,Male,Engineering,Engineering,Electronics & TC,7,15,1,0,0,6,Sometimes,0,3,Neutral,"No, I believe them",3,Often,2,2,3,Financially Struggling,Home,6,5,6.3,0,0,0,1,4,1,1,0.542,0.427,0.568,0.309,Medium,Hybrid,0
Swati Nair,Female,Engineering,Engineering,BCom,2,14,3,1,0,5,Never,1,4,Relieved,"Yes, I doubt them",3,Never,2,4,2,Financially Struggling,Hostel,5,4,6.0,0,0,1,0,4,4,2,0.691,0.483,0.401,0.809,High,Online,0
Gauri Kumar,Female,Engineering,Engineering,Electronics & TC,4,9,2,1,1,6,Sometimes,1,4,Tired but okay,Sometimes,4,Rarely,1,4,2,Tight,Hostel,4,0,7.2,0,0,0,0,4,2,2,0.735,0.247,0.346,0.724,High,Online,1
Jay Salunkhe,Male,Engineering,Engineering,MBA,3,6,2,0,0,5,Always,1,3,Tired but okay,"Yes, I doubt them",1,Never,2,3,3,Comfortable,Hostel,4,3,7.0,0,1,0,0,1,1,4,0.69,0.444,0.315,0.632,High,Hybrid,0
Vedant More,Male,Engineering,Engineering,Mechanical Engineering,6,19,3,0,0,7,Sometimes,0,3,Neutral,Sometimes,3,Always,3,2,4,Very Comfortable,Home,4,7,8.6,0,0,0,0,3,1,2,0.311,0.811,0.722,0.164,Low,Offline,0
Kunal Mane,Male,Engineering,Engineering,Computer Engineering,6,13,5,1,1,9,Sometimes,0,2,Energised,Sometimes,1,Often,3,3,2,Financially Struggling,PG,2,6,8.4,0,1,0,0,4,2,3,0.408,0.665,0.868,0.149,Medium,Offline,0
Kirti Patel,Female,Engineering,Engineering,MSc Data Science,3,18,4,0,0,7,Never,0,2,Neutral,"Yes, I doubt them",1,Sometimes,3,2,3,Tight,Hostel,4,3,8.1,0,0,0,0,3,1,4,0.298,0.597,0.276,0.967,Low,Online,0
Uma Sawant,Female,Engineering,Engineering,BCA,2,12,3,1,0,6,Often,0,3,Exhausted and drained,"No, I believe them",3,Rarely,1,3,2,Moderate,Home,5,7,5.8,0,0,0,0,3,1,3,0.526,0.842,0.837,0.147,Medium,Offline,0
Bhakti Deshpande,Female,Engineering,Engineering,Computer Engineering,5,12,3,0,0,6,Often,1,3,Exhausted and drained,"No, I believe them",4,Never,2,2,2,Moderate,Home,8,5,6.0,0,0,0,0,3,2,1,0.676,0.848,0.705,0.303,High,Offline,0
Geeta Deshpande,Female,Engineering,Engineering,BCom,4,7,1,0,0,5,Always,1,2,Tired but okay,Sometimes,2,Sometimes,2,4,4,Very Comfortable,Home,5,12,5.9,0,0,0,0,3,1,2,0.606,0.546,0.788,0.163,High,Offline,0
Vivek Patel,Male,Engineering,Engineering,BCom,4,17,2,1,1,7,Never,0,1,Energised,Sometimes,2,Always,4,3,3,Tight,Home,3,9,6.5,0,1,0,0,1,4,4,0.062,0.418,0.631,0.808,Low,Hybrid,0
Waqar Jadhav,Male,Engineering,Engineering,BCom,4,10,1,0,1,5,Always,1,4,Relieved,Sometimes,2,Often,3,3,4,Comfortable,Hostel,5,12,4.4,0,0,0,0,4,2,2,0.589,0.251,0.448,0.879,High,Online,0
Divya Mohite,Female,Engineering,Engineering,BA English Literature,6,7,1,0,1,5,Always,1,3,Tired but okay,"Yes, I doubt them",4,Sometimes,1,3,3,Comfortable,Home,4,7,6.7,0,0,0,0,2,2,2,0.706,0.458,0.642,0.534,High,Hybrid,0
Harsh Shah,Male,Engineering,Engineering,Electronics & TC,3,2,3,0,1,5,Sometimes,0,1,Relieved,Sometimes,4,Always,2,4,5,Moderate,Home,3,6,5.3,0,1,0,1,2,3,2,0.313,0.309,0.682,0.53,Low,Hybrid,0
Ananya Kale,Female,Engineering,Engineering,Computer Engineering,6,18,3,1,1,7,Sometimes,0,2,Energised,"No, I believe them",2,Sometimes,3,4,4,Tight,PG,4,5,8.2,0,1,0,0,4,4,4,0.398,0.529,0.32,0.749,Medium,Online,0
Gauri Sharma,Female,Engineering,Engineering,Computer Engineering,4,16,4,1,1,7,Never,0,1,Relieved,"No, I believe them",2,Often,5,2,4,Tight,Home,3,10,8.6,0,0,0,0,1,2,3,0.171,0.911,0.755,0.284,Low,Offline,0
Parth Mane,Male,Engineering,Engineering,Civil Engineering,2,7,2,1,0,4,Always,1,5,Exhausted and drained,"Yes, I doubt them",3,Never,1,4,2,Financially Struggling,Hostel,5,9,4.6,1,0,0,0,3,1,1,0.921,0.367,0.523,0.252,Critical,Hybrid,1
Bhavna Nair,Female,Engineering,Engineering,Electronics & TC,5,5,2,1,1,6,Always,1,4,Neutral,"Yes, I doubt them",3,Always,1,4,3,Moderate,Hostel,4,8,4.1,1,0,0,0,1,3,2,0.778,0.236,0.484,0.776,Critical,Hybrid,1
Vidya Gaikwad,Female,Engineering,Engineering,B.Sc Nursing,2,2,3,1,1,4,Sometimes,0,3,Neutral,"Yes, I doubt them",3,Sometimes,2,4,3,Moderate,Hostel,5,6,6.2,0,1,0,0,3,1,1,0.545,0.487,0.689,0.269,Medium,Offline,0
Uday Verma,Male,Engineering,Engineering,Civil Engineering,6,11,4,0,1,7,Never,0,2,Relieved,"No, I believe them",4,Always,3,4,5,Moderate,Relatives,3,8,8.9,0,0,0,0,3,1,3,0.347,0.77,0.42,0.464,Low,Hybrid,0
Sneha Kulkarni,Female,Engineering,Engineering,MBA,4,14,3,0,1,6,Often,1,4,Tired but okay,"Yes, I doubt them",4,Rarely,2,2,3,Moderate,Hostel,4,10,4.7,1,0,0,0,1,3,1,0.708,0.564,0.652,0.904,High,Hybrid,1
Pooja Sawant,Female,Engineering,Engineering,Computer Engineering,4,18,2,1,1,4,Sometimes,0,2,Exhausted and drained,Sometimes,4,Often,4,2,3,Financially Struggling,Home,7,11,5.5,0,0,0,0,3,1,2,0.335,0.494,0.783,0.261,Low,Offline,0
Sachin Sawant,Male,Engineering,Engineering,MBA,7,8,2,1,1,6,Always,1,4,Relieved,"Yes, I doubt them",3,Sometimes,1,4,1,Moderate,Home,7,9,5.9,0,1,0,1,2,1,1,0.835,0.653,0.734,0.218,Critical,Offline,0
Ishita Shinde,Female,Engineering,Engineering,Electronics & TC,4,17,4,0,1,5,Always,1,3,Exhausted and drained,"Yes, I doubt them",2,Never,2,2,3,Moderate,Home,5,7,5.0,1,0,0,1,3,3,4,0.606,0.436,0.477,0.408,High,Hybrid,1
Uma Mohite,Female,Engineering,Engineering,Computer Engineering,4,13,2,0,1,6,Often,1,3,Tired but okay,Sometimes,3,Never,1,1,2,Moderate,Home,4,7,5.3,1,1,0,0,2,3,2,0.744,0.279,0.484,0.655,High,Hybrid,1
Uma Patil,Female,Engineering,Engineering,MSc Data Science,6,18,3,1,1,6,Never,0,1,Exhausted and drained,Sometimes,3,Often,3,3,4,Moderate,Home,1,6,7.1,0,1,0,0,3,2,4,0.257,0.662,0.614,0.341,Low,Offline,0
Uday Bhosale,Male,Engineering,Engineering,Electronics & TC,5,12,4,0,1,5,Never,0,3,Relieved,"No, I believe them",1,Always,3,2,4,Moderate,Relatives,2,8,7.7,0,0,0,0,2,4,4,0.389,0.616,0.588,0.211,Medium,Hybrid,0
Karan Nair,Male,Engineering,Engineering,BA Psychology,4,15,3,1,1,9,Sometimes,0,1,Exhausted and drained,"No, I believe them",1,Often,5,3,2,Moderate,PG,3,6,8.3,0,0,0,0,2,4,3,0.034,0.688,0.225,0.887,Low,Online,0
Farhan Bhosale,Male,Engineering,Engineering,BCom,4,17,3,0,1,5,Often,1,3,Tired but okay,Sometimes,2,Never,3,3,2,Very Comfortable,Hostel,6,1,4.0,0,1,0,0,1,2,3,0.608,0.527,0.343,0.539,High,Hybrid,1
Priya Pawar,Female,Engineering,Engineering,BCom,4,11,1,1,0,7,Sometimes,1,3,Tired but okay,"Yes, I doubt them",3,Often,2,2,2,Comfortable,Home,3,7,4.4,1,0,0,0,1,3,2,0.605,0.686,0.894,0.683,High,Hybrid,1
Chinmay Mohite,Male,Engineering,Engineering,MBBS,6,8,2,1,0,5,Always,1,3,Exhausted and drained,Sometimes,3,Rarely,2,4,3,Moderate,Home,7,7,5.0,1,1,0,1,4,2,3,0.568,0.525,0.484,0.383,High,Hybrid,1
Bhushan Shah,Male,Engineering,Engineering,BA English Literature,6,7,3,0,1,3,Often,1,3,Relieved,"No, I believe them",4,Sometimes,2,3,2,Moderate,Home,4,2,4.6,1,1,0,1,4,4,2,0.604,0.274,0.217,0.83,High,Online,1
Neha Deshmukh,Female,Engineering,Engineering,B.Sc Nursing,0,8,2,0,1,7,Never,0,1,Tired but okay,"No, I believe them",3,Never,4,3,4,Tight,Home,4,8,5.6,0,0,0,0,2,3,4,0.314,0.082,0.559,0.419,Low,Hybrid,0
Ishita Shah,Female,Engineering,Engineering,BA English Literature,4,10,2,0,1,5,Always,1,5,Neutral,"Yes, I doubt them",4,Rarely,1,3,4,Moderate,Hostel,5,4,6.3,0,1,0,0,4,2,1,1.0,0.087,0.609,0.707,Critical,Hybrid,1
Chaitali Pawar,Female,Engineering,Engineering,MBBS,5,17,2,0,1,6,Always,1,3,Exhausted and drained,"Yes, I doubt them",4,Often,2,3,3,Tight,Hostel,5,10,4.8,0,0,1,1,3,1,3,0.57,0.454,0.54,0.464,High,Hybrid,0
Jyoti Kumar,Female,Engineering,Engineering,Civil Engineering,6,18,3,0,1,6,Never,0,1,Neutral,"Yes, I doubt them",3,Always,3,1,3,Moderate,Home,4,4,9.0,0,0,0,0,2,1,4,0.338,0.683,0.382,0.987,Low,Online,0
Pranav Sawant,Male,Engineering,Engineering,BCA,4,5,3,1,1,3,Often,1,4,Neutral,"Yes, I doubt them",2,Never,1,5,2,Tight,Relatives,5,4,6.7,0,1,0,1,2,4,2,0.799,0.33,0.446,0.721,Critical,Online,0
Parth Kulkarni,Male,Engineering,Engineering,B.Sc Nursing,2,7,2,0,1,5,Sometimes,1,5,Tired but okay,Sometimes,3,Rarely,1,1,3,Moderate,Hostel,3,4,5.2,0,1,0,0,4,1,1,0.912,0.54,0.315,0.92,Critical,Online,0
Harshada Singh,Female,Engineering,Engineering,Civil Engineering,6,15,5,1,0,6,Never,0,1,Relieved,"No, I believe them",1,Sometimes,5,3,2,Moderate,Hostel,4,7,7.8,0,1,0,1,3,3,3,0.013,0.69,0.445,0.648,Low,Hybrid,0
Vidya Pawar,Female,Engineering,Engineering,MBBS,8,16,3,1,1,6,Always,0,3,Exhausted and drained,Sometimes,3,Sometimes,2,3,2,Comfortable,Home,5,0,5.6,0,0,0,0,1,1,3,0.506,0.382,0.364,0.58,Medium,Hybrid,0
Priya More,Female,School,School,B.Sc Nursing,6,10,4,0,1,5,Never,0,1,Relieved,"Yes, I doubt them",3,Often,4,2,3,Moderate,Hostel,5,6,7.4,0,0,0,1,1,4,2,0.014,0.571,0.588,0.633,Low,Hybrid,0
Rahul Shinde,Male,School,School,Electronics & TC,5,15,2,0,1,5,Sometimes,1,4,Tired but okay,Sometimes,3,Rarely,1,2,3,Comfortable,Hostel,7,0,5.1,0,0,0,1,2,2,1,0.806,0.172,0.225,0.282,Critical,Hybrid,1
Geeta Sawant,Female,School,School,Computer Engineering,4,12,2,0,0,6,Sometimes,0,1,Exhausted and drained,"No, I believe them",2,Always,3,3,4,Moderate,Hostel,4,7,6.1,0,0,0,1,1,4,3,0.277,0.301,0.718,0.203,Low,Offline,0
Pranav Joshi,Male,School,School,BCom,7,10,3,1,0,7,Never,0,1,Neutral,"No, I believe them",3,Sometimes,5,2,3,Moderate,Home,2,5,6.6,0,0,0,0,2,3,4,0.0,0.874,0.3,0.814,Low,Online,0
Pooja Kulkarni,Female,School,School,MSc Data Science,2,11,4,0,1,6,Sometimes,1,4,Relieved,"Yes, I doubt them",4,Sometimes,2,5,2,Tight,Home,5,3,4.2,1,1,0,0,3,3,2,0.698,0.35,0.336,0.671,High,Online,1
